,a,basis,E_CCSD_corr,TDL err
0,3.35,dzvp,-0.12192496639180771,inf
1,3.4,dzvp,-0.12109992155838481,inf
2,3.45,dzvp,-0.12030424114347228,inf
3,3.5,dzvp,-0.11953652135746304,inf
4,3.55,dzvp,-0.11879552923647847,inf
5,3.6,dzvp,-0.11808020521283902,inf
6,3.65,dzvp,-0.11738965900100837,inf
