,a,E_HF,E_CCSD_corr,Nk,kpts,basis,E_CCSD,KMP2 corr,t_corr,Nk_str,note
69,3.6,-14.834337304566755,,18,666,qzv3p,,,,666.0,
70,3.6,-14.825291757076709,,21,777,dzvp,,,,,
71,3.6,-14.824824571129126,,24,888,dzvp,,,,888.0,
72,3.65,-14.8591877706385,-0.1066024745935571,6,222,dzvp,-14.965790245232057,,,,
73,3.65,-14.866563576229574,-0.1262014999127977,6,222,qzv3p,-14.992765076142371,-0.1131911467504652,-0.0059469935146516,,
74,3.65,-14.838810005066,-0.1141934562136154,9,333,dzvp,-14.953003461279614,,,,
75,3.65,-14.845542280985494,-0.1280883020215656,9,333,tzv2p,-14.97363058300706,-0.1288486496743426,,333.0,
76,3.65,-14.8460673670878,-0.133861628521741,9,333,qzv3p,-14.97992899560954,,,,CCSD corr not converged
77,3.65,-14.8318952470915,-0.1170102517598488,12,444,dzvp,-14.94890549885135,,,,est. from not fully conv. frozen thresh 2e-3
78,3.65,-14.828914092402384,,15,555,dzvp,,,,555.0,
79,3.65,-14.82723032655593,,18,666,dzvp,,,,666.0,
80,3.65,-14.833952511766974,,18,666,tzv2p,,,,666.0,
81,3.65,-14.834476822784444,,18,666,qzv3p,,,,666.0,
82,3.65,-14.825402330712985,,21,777,dzvp,,,,,
83,3.65,-14.824939694808869,,24,888,dzvp,,,,888.0,
