,a,Nk_str,E_HF,KMP2 corr,E_CCSD_corr,kpts,basis,Nk,E_CCSD,t_corr,note
57,4.15,221.0,-3.9983214314772657,-0.1144873963996584,-0.1315042122120733,221,dzvp_prim,5,-4.129825643689339,,
58,4.15,221.0,-4.0024729275735575,-0.1493891285311886,-0.1615976700890109,221,tzv2p_f_prim,5,-4.164070597662568,,
59,4.15,221.0,-4.004047942787492,,-0.1657206455212535,221,qzv3p_f_prim,5,-4.169768588308746,-0.0146001113062651,
60,4.15,331.0,-3.939142615717866,-0.198176276417668,-0.1833033370744414,331,tzv2p_f_prim,7,-4.122445952792307,,
61,4.15,331.0,-3.940818979970473,-0.2036304563571602,-0.1873662331165825,331,qzv3p_f_prim,7,-4.128185213087056,,
62,4.15,332.0,-3.921507980432112,,-0.1663783878392841,332,dzvp_prim,8,-4.087886368271396,,
63,4.15,332.0,-3.925765434047541,,-0.1958981042774712,332,tzv2p_f_prim,8,-4.121663538325012,,
64,4.15,442.0,-3.8676333108976566,,,442,dzvp_prim,10,,,
65,4.15,,-3.89837215443921,,-0.176401787497158,552,dzvp_prim,12,-4.074773941936368,,CCSD corr not converged
66,4.2,221.0,-3.997081526772133,-0.1136795047965106,-0.1307411109596398,221,dzvp_prim,5,-4.127822637731773,,
67,4.2,221.0,-4.001034739283277,-0.14872555612576,-0.1608549562929347,221,tzv2p_f_prim,5,-4.161889695576212,,
68,4.2,221.0,-4.002503935596298,,-0.164935436135556,221,qzv3p_f_prim,5,-4.167439371731854,-0.0147204621986666,
69,4.2,331.0,-3.937443265079258,-0.1969194375260519,-0.1807686392587289,331,tzv2p_f_prim,7,-4.118211904337987,,
70,4.2,331.0,-3.939005240317828,-0.2023945978284071,-0.1847238094321525,331,qzv3p_f_prim,7,-4.123729049749981,,
71,4.2,332.0,-3.920549697798526,,-0.1654588188833222,332,dzvp_prim,8,-4.086008516681848,,
72,4.2,332.0,-3.924702971025213,,-0.1948878174138499,332,tzv2p_f_prim,8,-4.119590788439063,,
73,4.2,442.0,-3.8333996803951833,,,442,dzvp_prim,10,,,
74,4.2,,-3.89727956319634,,-0.175426389346301,552,dzvp_prim,12,-4.072705952542641,,CCSD corr not converged
