,# Spat. orbs,# Spat. virt. orbs,E_MP2_corr,E_CCSD_corr
0,31.0,28.0,-0.0380166047,-0.0476430745
1,49.0,46.0,-0.0381768049,-0.0473134445
2,67.0,64.0,-0.0498102437,-0.0602750477
