,# Spat. orbs,# Spat. virt. orbs,E_MP2_corr,E_CCSD_corr
0,31.0,28.0,-0.0660707294,-0.0803054743
1,49.0,46.0,-0.0799678618,-0.0933738711
2,67.0,64.0,-0.0849912467,-0.0985616519
