,# Spat. orbs,# Spat. virt. orbs,E_MP2_corr,E_CCSD_corr,Basis
0,29.0,26.0,-0.0496317035,-0.0641440956,dzvp
1,47.0,44.0,-0.0590361291,-0.0741169865,tzv2p
2,65.0,62.0,-0.0622187452,-0.0771471768,qzv3p
