,method,basis,a_min,a_min_corrected,B,B_corrected,E_coh,E_coh_corrected
0,HF,dzvp,4.098655620432517,4.098655620432517,0.7821797601619422,0.7821797601619422,-0.048735693915551166,-0.048735693915551166
0,CCSD,dzvp,4.052104294127064,4.052104291935165,0.8322947081054327,0.8322946105345943,-0.08668946147880746,-0.09065018709103394
0,CCSD+(T),dzvp,4.0593354342630885,4.059335434649953,0.8147212632989093,0.814721303802201,-0.09252855027603722,-0.09648927593808125
0,CCSD-SAC,dzvp,4.0598545103560975,4.060582919106942,0.8111263838397368,0.809499944729905,-0.09846111599189679,-0.10294513453039808
0,HF,tzv2p_f,4.08721241088899,4.08721241088899,0.7978379067763238,0.7978379067763238,-0.0505476760541334,-0.0505476760541334
0,CCSD,tzv2p_f,4.026281609843507,4.026281614257105,0.8935135559186324,0.8935135381892502,-0.10067153815682502,-0.10463226378832116
0,CCSD+(T),tzv2p_f,4.0330227407805355,4.03302274232319,0.8779280715354886,0.8779280688158113,-0.10647820114960573,-0.11043892679050789
0,CCSD-SAC,tzv2p_f,4.035815168277756,4.036497025422234,0.8726812924577959,0.8712590463288783,-0.11435477863829166,-0.11883581896995131
0,HF,qzv3p_f,4.078259323645004,4.078259323645004,0.7996562442859542,0.7996562442859542,-0.051315876690064245,-0.051315876690064245
0,CCSD,qzv3p_f,4.016480344935234,4.016480366754825,0.9207361176252411,0.9207359264285274,-0.10335017698303908,-0.10731090252137238
0,CCSD+(T),qzv3p_f,4.023026832346537,4.023026841360623,0.9051417092627724,0.9051416555333479,-0.10914455835664447,-0.11310528396808826
0,CCSD-SAC,qzv3p_f,4.025909405023143,4.026571427914208,0.9015347218886266,0.9001264737297742,-0.11729030186251638,-0.1217701137799826
0,HF,cbs,4.078259323645004,4.078259323645004,0.7996562442859542,0.7996562442859542,-0.051315876690064245,-0.051315876690064245
0,CCSD,cbs,4.015903032480792,4.015903069438101,0.9322666732309084,0.9322663315909335,-0.10467321973707372,-0.108633945192276
0,CCSD+(T),cbs,4.022365584527117,4.022365599314491,0.9174685380227171,0.9174684452483645,-0.11046683352470185,-0.11442755911442459
0,CCSD-SAC,cbs,4.02532695166384,4.025978987152874,0.915471860219952,0.9141534836890268,-0.11881234610132735,-0.12329208517910326
